GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073
1400000US53051970100,53051970100,"Census Tract 9701, Pend Oreille County, Washington",2099,63,2036,2000,1955,0,37,6,0,2,36,33,2,27,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53051970200,53051970200,"Census Tract 9702, Pend Oreille County, Washington",2649,82,2567,2513,2211,8,280,12,2,0,54,47,6,33,5,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53051970300,53051970300,"Census Tract 9703, Pend Oreille County, Washington",3300,115,3185,3101,3005,12,44,28,10,2,84,79,10,42,15,3,2,3,0,0,4,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53051970400,53051970400,"Census Tract 9704, Pend Oreille County, Washington",2682,50,2632,2572,2452,25,66,11,4,14,60,58,2,40,8,2,1,5,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53051970500,53051970500,"Census Tract 9705, Pend Oreille County, Washington",2271,81,2190,2120,2054,5,39,16,0,6,70,68,8,39,10,2,1,6,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060200,53053060200,"Census Tract 602, Pierce County, Washington",1928,658,1270,1204,971,106,50,58,10,9,66,62,5,4,19,0,3,3,3,0,1,1,0,0,22,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060300,53053060300,"Census Tract 603, Pierce County, Washington",4106,171,3935,3786,3507,119,34,107,12,7,149,135,36,34,43,8,2,5,1,0,0,1,1,0,3,1,0,14,6,2,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060400,53053060400,"Census Tract 604, Pierce County, Washington",3896,180,3716,3533,3355,80,19,65,5,9,183,152,41,41,52,5,2,2,5,0,0,0,0,0,4,0,0,30,1,2,0,0,8,2,0,12,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060500,53053060500,"Census Tract 605, Pierce County, Washington",3923,163,3760,3622,3406,50,15,139,5,7,138,129,19,23,67,7,2,1,3,0,0,1,0,0,0,6,0,9,3,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060600,53053060600,"Census Tract 606, Pierce County, Washington",5262,234,5028,4797,4371,227,47,134,8,10,231,211,45,38,100,6,2,2,7,2,1,3,1,0,2,2,0,15,3,0,0,0,4,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060700,53053060700,"Census Tract 607, Pierce County, Washington",6523,307,6216,5882,5429,159,45,207,26,16,334,298,66,68,127,10,4,3,9,0,1,0,0,0,9,1,0,35,4,6,0,0,8,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060800,53053060800,"Census Tract 608, Pierce County, Washington",4940,237,4703,4492,4253,94,24,104,9,8,211,193,43,61,72,4,1,5,2,0,0,0,1,0,3,1,0,14,6,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
