GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73
1400000US53033021600,53033021600,"Census Tract 216, King County, Washington",4726,107,4619,4475,3895,84,18,456,13,9,144,133,21,12,52,2,26,3,0,0,4,3,0,0,5,2,3,5,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0
1400000US53033021700,53033021700,"Census Tract 217, King County, Washington",5252,317,4935,4813,4419,78,29,262,6,19,122,119,6,45,30,6,20,0,2,0,1,0,0,0,4,5,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021802,53033021802,"Census Tract 218.02, King County, Washington",4105,177,3928,3812,3462,40,32,262,12,4,116,109,12,27,45,2,5,3,3,0,0,3,0,1,2,3,3,6,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021803,53033021803,"Census Tract 218.03, King County, Washington",4150,244,3906,3777,3510,61,24,160,11,11,129,123,24,25,44,5,11,0,1,0,0,3,0,0,7,3,0,6,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021804,53033021804,"Census Tract 218.04, King County, Washington",4226,266,3960,3865,3618,49,26,157,8,7,95,90,13,18,25,19,7,3,1,0,0,0,0,1,0,3,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021903,53033021903,"Census Tract 219.03, King County, Washington",5995,290,5705,5527,4882,96,23,511,9,6,178,161,24,37,61,2,13,1,1,0,0,2,1,0,6,13,0,12,2,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021904,53033021904,"Census Tract 219.04, King County, Washington",4864,342,4522,4328,3371,78,35,832,9,3,194,173,25,37,70,6,3,0,3,0,0,0,1,2,4,22,0,17,7,0,0,6,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021905,53033021905,"Census Tract 219.05, King County, Washington",4765,248,4517,4366,3944,58,22,325,14,3,151,139,17,27,51,3,22,0,5,0,0,3,0,0,3,8,0,12,0,0,0,0,2,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021906,53033021906,"Census Tract 219.06, King County, Washington",3617,160,3457,3355,2778,67,22,477,9,2,102,90,26,9,36,2,10,0,5,0,0,1,0,0,1,0,0,12,6,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022001,53033022001,"Census Tract 220.01, King County, Washington",3813,202,3611,3485,3123,41,20,281,5,15,126,124,14,15,57,9,21,0,1,0,0,1,0,0,2,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
