GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53053060903,53053060903,"Census Tract 609.03, Pierce County, Washington",3043,2872,2461,172,19,176,15,29,171,153,34,29,50,8,10,6,8,3,0,0,0,0,3,0,2,16,3,5,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060904,53053060904,"Census Tract 609.04, Pierce County, Washington",5015,4647,3971,337,53,199,10,77,368,322,100,67,82,15,21,7,11,0,7,3,0,0,6,1,2,45,17,14,1,0,2,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060905,53053060905,"Census Tract 609.05, Pierce County, Washington",6359,5967,4915,486,55,344,43,124,392,343,131,48,102,9,7,17,19,2,1,3,0,0,2,2,0,39,16,13,4,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,10,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053060906,53053060906,"Census Tract 609.06, Pierce County, Washington",2045,1907,1602,173,19,83,8,22,138,116,29,18,39,2,10,6,4,3,0,1,0,0,3,1,0,21,6,3,0,0,5,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061001,53053061001,"Census Tract 610.01, Pierce County, Washington",3791,3633,3175,158,23,241,14,22,158,131,34,25,45,7,5,2,5,0,0,0,0,0,5,2,1,26,10,6,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061002,53053061002,"Census Tract 610.02, Pierce County, Washington",4187,3869,2904,473,55,298,32,107,318,299,88,32,88,5,18,25,18,4,6,3,0,5,6,1,0,18,4,7,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061100,53053061100,"Census Tract 611, Pierce County, Washington",6200,5766,4708,518,64,358,21,97,434,370,138,57,94,5,14,15,19,8,2,1,4,4,4,4,1,59,13,13,0,8,1,0,2,11,1,0,2,0,0,7,1,0,0,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061200,53053061200,"Census Tract 612, Pierce County, Washington",4968,4550,3625,572,71,153,26,103,418,364,152,53,76,5,28,15,15,0,5,3,0,7,4,1,0,51,25,8,1,0,5,0,0,4,4,0,0,0,1,2,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061300,53053061300,"Census Tract 613, Pierce County, Washington",4808,4298,2592,1203,104,208,79,112,510,438,179,52,77,12,26,31,28,1,9,2,0,12,2,2,5,66,33,13,0,4,5,1,1,1,3,1,1,0,1,1,0,1,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061400,53053061400,"Census Tract 614, Pierce County, Washington",4442,4179,2295,1272,147,339,43,83,263,224,94,42,33,9,9,20,2,3,3,4,0,0,4,0,1,35,22,2,2,0,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
